StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,The park was a lake after the rain. - 1,Click to write the question text - 1,Emily and Audrey are two peas in a pod. - 1,Lexie is an encyclopedia. - 1,Nolan's stomach was a bottomless pit. - 1,My pulse is a race car. - 1,The thunder was a mighty lion. - 1,The stormy ocean was a raging bull. - 1,Her tears were a river flowing down her cheeks. - 1,The homework assignment was a breeze. - 1,Deja's dance was a poem. - 1,Harper's eyes are two emeralds. - 1,Sam's cheeks are red apples. - 1,Celia's hair was a lion's mane. - 1,Time is money. - 1,The car was a furnace in the sun. - 1,The kids were monkeys on the jungle gym. - 1,Alex's heart was a rock. - 1,The ballerina was a gazelle. - 1,The road was a ribbon stretching across the desert. - 1,Avery is a mountain of strength. - 1,Life is a dream. - 1,This fog is pea soup. - 1,Ashley is an old flame. - 1,New ideas are food for your brain.. - 1,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""MTurkCode""}"
2018-11-02 18:01:42,2018-11-02 18:02:20,0,174.85.255.66,100,37,1,2018-11-02 18:02:20,R_1dGEXNYwHXAyjbV,,,,,34.8036041259765625,-86.970703125,anonymous,EN,3,5,3,3,6,5,2,3,3,5,3,6,5,2,5,3,6,5,2,3,5,3,2,6,5,14092832
2018-11-02 18:01:40,2018-11-02 18:03:07,0,76.124.137.19,100,87,1,2018-11-02 18:03:08,R_2En8y5K2OwQmjuv,,,,,39.9882965087890625,-75.22080230712890625,anonymous,EN,6,4,6,5,7,5,6,2,3,6,1,5,3,5,7,4,6,4,6,5,2,7,4,6,6,87264140
2018-11-02 18:02:22,2018-11-02 18:03:38,0,223.228.168.131,100,75,1,2018-11-02 18:03:38,R_3k6CPgsy1W8HRP6,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,5,3,4,6,5,3,3,5,4,7,5,3,2,2,4,4,6,5,4,5,2,3,5,4,6,6457900
2018-11-02 18:02:01,2018-11-02 18:03:43,0,50.38.66.161,100,101,1,2018-11-02 18:03:43,R_3DfOGcAcIDx0EeJ,,,,,44.990997314453125,-122.7626953125,anonymous,EN,6,6,7,6,7,3,2,3,7,7,5,5,5,5,7,6,5,3,2,7,7,7,6,7,6,92265151
2018-11-02 18:02:09,2018-11-02 18:03:57,0,130.76.201.62,100,108,1,2018-11-02 18:03:57,R_4TmTtCcEhvFKSgF,,,,,47.804901123046875,-122.28549957275390625,anonymous,EN,6,5,7,7,6,5,3,3,5,7,3,4,3,2,7,5,6,2,2,5,6,6,4,4,5,43957424
2018-11-02 18:02:13,2018-11-02 18:04:06,0,70.101.23.106,100,112,1,2018-11-02 18:04:06,R_dprXHluqD3O5inL,,,,,34.380706787109375,-81.0865020751953125,anonymous,EN,6,6,6,6,7,4,6,5,5,6,2,7,6,6,7,6,6,7,7,6,6,7,4,5,5,44582720
2018-11-02 18:01:42,2018-11-02 18:04:15,0,50.91.181.210,100,153,1,2018-11-02 18:04:16,R_xAGbLgNs82kMBGx,,,,,27.957794189453125,-82.46219635009765625,anonymous,EN,5,4,7,5,7,3,2,1,5,7,2,3,3,5,7,6,5,3,3,5,6,6,3,5,3,51320609
2018-11-02 18:02:02,2018-11-02 18:04:25,0,24.0.80.81,100,143,1,2018-11-02 18:04:26,R_2wcotdAUoEtMjtS,,,,,39.9871978759765625,-74.16010284423828125,anonymous,EN,6,3,7,6,6,2,5,5,6,7,3,5,5,6,7,3,6,2,3,3,5,5,1,6,7,3384218
2018-11-02 18:02:15,2018-11-02 18:04:33,0,97.118.141.130,100,138,1,2018-11-02 18:04:34,R_6opM1cPEdMbsoF3,,,,,37.2873992919921875,-107.86170196533203125,anonymous,EN,6,1,7,7,7,5,3,3,5,7,5,5,7,6,7,7,7,6,6,6,6,7,6,7,6,35167424
2018-11-02 18:02:50,2018-11-02 18:04:33,0,173.216.104.47,100,103,1,2018-11-02 18:04:34,R_3HwyvwnTGkOiW5K,,,,,35.30670166015625,-93.071197509765625,anonymous,EN,1,1,6,5,7,3,3,6,5,7,2,4,3,2,7,5,5,4,5,1,3,4,1,5,1,29342372
2018-11-02 18:02:18,2018-11-02 18:04:42,0,142.196.255.46,100,143,1,2018-11-02 18:04:42,R_1d5FklciBaRCJrU,,,,,28.65130615234375,-81.20659637451171875,anonymous,EN,4,1,7,7,7,4,4,7,7,7,1,7,7,7,7,7,7,7,1,7,7,4,4,4,4,37988240
2018-11-02 18:02:06,2018-11-02 18:04:50,0,76.105.14.4,100,163,1,2018-11-02 18:04:50,R_3dQZ0fCxD4Sr0A1,,,,,38.68499755859375,-121.06800079345703125,anonymous,EN,4,5,7,6,6,4,3,3,5,6,5,5,5,5,6,5,6,5,4,5,5,7,7,7,7,59044347
2018-11-02 18:02:16,2018-11-02 18:04:55,0,73.60.231.59,100,159,1,2018-11-02 18:04:55,R_2eaH3DQPzPlgln8,,,,,42.856903076171875,-71.6074981689453125,anonymous,EN,5,6,7,7,7,3,1,1,3,7,1,2,5,2,7,1,7,3,5,2,6,7,6,7,6,89694029
2018-11-02 18:03:58,2018-11-02 18:05:15,0,173.20.80.208,100,76,1,2018-11-02 18:05:15,R_3pshF3WFhC6ICOb,,,,,41.5384979248046875,-90.56130218505859375,anonymous,EN,1,6,7,7,6,5,6,7,7,7,3,4,3,6,7,6,6,7,5,5,3,5,7,6,5,41515127
2018-11-02 18:03:04,2018-11-02 18:05:25,0,104.229.10.241,100,140,1,2018-11-02 18:05:25,R_1N4fiJ86otY7jp1,,,,,43.1685028076171875,-77.68450164794921875,anonymous,EN,6,5,6,6,6,3,3,5,6,6,2,5,6,6,6,2,5,2,3,6,6,6,6,2,5,31384869
2018-11-02 18:02:15,2018-11-02 18:05:48,0,69.9.192.132,100,212,1,2018-11-02 18:05:48,R_1gdKWvnjfjRKNfl,,,,,47.9272003173828125,-97.06719970703125,anonymous,EN,7,1,7,7,7,1,1,1,7,7,7,7,1,1,7,7,7,1,7,7,7,7,1,7,7,74950964
2018-11-02 18:04:04,2018-11-02 18:05:53,0,75.167.37.255,100,108,1,2018-11-02 18:05:53,R_3lX46VMUfw1opex,,,,,33.63079833984375,-112.2071990966796875,anonymous,EN,6,2,7,7,6,2,4,6,6,7,2,5,1,5,6,5,6,3,2,6,5,6,5,6,5,22357664
2018-11-02 18:02:25,2018-11-02 18:06:15,0,75.39.5.104,100,230,1,2018-11-02 18:06:16,R_bBgj4rHZMJ91HON,,,,,42.5124969482421875,-83.064300537109375,anonymous,EN,6,5,7,7,7,5,5,5,5,7,3,5,5,6,7,6,6,3,5,5,5,7,2,7,6,60424731
2018-11-02 18:03:02,2018-11-02 18:06:40,0,24.101.90.131,100,218,1,2018-11-02 18:06:41,R_3kGP1ZEo8T2YXrz,,,,,41.0092926025390625,-80.6183013916015625,anonymous,EN,6,1,7,5,7,2,2,2,6,7,1,2,4,2,7,5,3,2,4,4,4,5,7,6,3,6504487
2018-11-02 18:06:12,2018-11-02 18:08:28,0,70.178.43.29,100,135,1,2018-11-02 18:08:29,R_2pX0QutIVXH8i9q,,,,,35.3426971435546875,-94.3784027099609375,anonymous,EN,3,5,7,6,7,3,3,3,6,7,5,7,7,7,7,5,6,3,5,5,5,6,1,7,6,73239403
2018-11-02 18:05:35,2018-11-02 18:09:28,0,107.175.34.162,100,232,1,2018-11-02 18:09:29,R_1IgS58I1kDPvSzT,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,5,4,6,5,3,6,2,4,5,3,6,6,6,7,6,5,6,6,4,6,6,7,4,5,6,30044557
2018-11-02 18:09:24,2018-11-02 18:10:52,0,100.36.161.187,100,88,1,2018-11-02 18:10:52,R_1pLGQqhXN03DpWr,,,,,38.78509521484375,-77.28659820556640625,anonymous,EN,6,1,7,6,7,5,3,3,5,7,5,5,5,5,7,6,6,6,6,6,6,7,7,7,6,28290566
2018-11-02 18:07:14,2018-11-02 18:12:49,0,73.113.181.67,100,335,1,2018-11-02 18:12:49,R_WrkDbTZ5ncYsRZD,,,,,36.310699462890625,-82.3809967041015625,anonymous,EN,6,6,7,6,6,5,2,3,3,7,1,3,5,6,7,6,6,2,2,5,5,7,2,7,7,46652027
2018-11-02 18:10:56,2018-11-02 18:12:52,0,24.163.76.197,100,116,1,2018-11-02 18:12:53,R_3EguyBkmNMeSh6I,,,,,36.0355072021484375,-78.83910369873046875,anonymous,EN,1,5,7,5,6,2,1,2,6,7,1,2,2,5,7,5,7,1,3,3,1,2,1,7,3,65216183
2018-11-02 18:22:26,2018-11-02 18:23:50,0,174.110.251.6,100,84,1,2018-11-02 18:23:50,R_1LTC98au8SGy2LX,,,,,34.92730712890625,-78.9093017578125,anonymous,EN,6,4,5,5,6,2,6,6,5,6,2,3,4,5,6,6,5,3,5,4,6,5,2,6,5,53754481
2018-11-02 18:39:49,2018-11-02 18:41:29,0,73.177.202.122,100,99,1,2018-11-02 18:41:29,R_2OHHNUxo1lPBUA3,,,,,39.1678924560546875,-78.16719818115234375,anonymous,EN,6,5,7,6,7,6,5,5,6,7,5,6,6,6,7,6,6,6,6,3,6,6,1,5,6,50750220
2018-11-02 18:41:10,2018-11-02 18:43:49,0,99.57.35.40,100,159,1,2018-11-02 18:43:50,R_5j5Ix9edXvgn173,,,,,42.3542022705078125,-87.8650970458984375,anonymous,EN,7,1,7,6,7,5,1,6,7,5,5,6,6,6,7,7,7,7,1,7,6,6,1,6,6,6696480
2018-11-02 18:56:51,2018-11-02 18:57:15,0,63.155.89.69,100,24,1,2018-11-02 18:57:16,R_2q9H95sedIjiubs,,,,,41.515899658203125,-108.99420166015625,anonymous,EN,5,7,6,6,6,6,6,6,5,6,6,5,6,7,6,6,6,5,7,6,6,6,4,6,5,76256208
2018-11-02 18:56:09,2018-11-02 18:58:01,0,68.80.85.115,100,112,1,2018-11-02 18:58:01,R_2qkHpEzN3GZti6j,,,,,40.0709991455078125,-75.12509918212890625,anonymous,EN,7,4,7,7,7,3,5,5,6,7,6,6,6,6,7,7,7,5,5,6,5,6,7,7,6,95484122
2018-11-02 19:02:51,2018-11-02 19:04:51,0,185.245.86.117,100,119,1,2018-11-02 19:04:51,R_sMNCTX3zqVIZXUJ,,,,,25.7805938720703125,-80.1826019287109375,anonymous,EN,7,4,2,2,2,4,5,5,5,4,6,6,6,6,3,7,3,6,4,4,3,6,1,2,7,69013373
2018-11-02 19:03:07,2018-11-02 19:04:54,0,68.207.132.94,100,106,1,2018-11-02 19:04:54,R_3G6PdLc0UUpGng1,,,,,32.4994964599609375,-86.36409759521484375,anonymous,EN,3,1,7,5,7,5,2,4,7,7,3,5,7,7,7,7,6,2,1,5,7,7,1,7,7,63916974
2018-11-02 19:04:39,2018-11-02 19:06:33,0,68.203.9.3,100,113,1,2018-11-02 19:06:33,R_2tagWR2dShVwhJJ,,,,,30.4521026611328125,-97.768798828125,anonymous,EN,6,6,7,6,7,2,3,5,7,7,3,7,6,7,7,7,7,5,6,3,5,7,2,7,6,4176150
2018-11-02 19:04:27,2018-11-02 19:06:33,0,216.9.29.131,100,126,1,2018-11-02 19:06:33,R_6fAkYspSV4IUU37,,,,,47.558502197265625,-122.00550079345703125,anonymous,EN,6,5,7,7,7,5,5,5,7,7,5,5,5,6,7,5,6,3,3,3,5,6,3,7,3,89928989
2018-11-02 19:03:13,2018-11-02 19:06:36,0,99.173.169.25,100,203,1,2018-11-02 19:06:36,R_1dsKOFRJoSH8ZUA,,,,,35.68719482421875,-80.56690216064453125,anonymous,EN,6,5,7,7,7,2,1,1,7,7,3,6,7,7,7,3,6,6,5,7,7,2,7,7,3,18643854
2018-11-02 19:05:35,2018-11-02 19:09:04,0,172.83.40.26,100,208,1,2018-11-02 19:09:04,R_ekyIsiGTH781TzP,,,,,49.2559051513671875,-123.1322021484375,anonymous,EN,1,7,1,4,7,3,2,3,6,7,7,2,1,7,5,5,6,5,5,3,2,2,4,7,3,28212805
2018-11-02 19:03:34,2018-11-02 19:09:17,0,45.72.61.93,100,343,1,2018-11-02 19:09:17,R_3nkpn9wC1xfLZNb,,,,,32.8152008056640625,-96.87030029296875,anonymous,EN,1,4,5,6,5,6,7,7,7,5,4,4,7,6,3,5,7,6,5,4,6,7,5,4,7,30200477
2018-11-02 19:10:58,2018-11-02 19:12:20,0,70.162.116.161,100,82,1,2018-11-02 19:12:21,R_2zjXfuD9j21CIGk,,,,,33.561004638671875,-111.90889739990234375,anonymous,EN,2,2,6,6,6,6,2,6,6,6,2,3,6,6,6,6,6,5,2,2,2,6,2,6,6,2970193
2018-11-02 19:04:50,2018-11-02 19:23:27,0,97.73.96.22,100,1116,1,2018-11-02 19:23:27,R_3nSkyvuDKh1Vfhs,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,5,2,6,3,6,1,6,5,6,6,2,6,5,5,7,5,6,6,5,3,5,7,1,7,5,91654655
2018-11-02 20:14:50,2018-11-02 20:18:13,0,162.207.225.80,100,202,1,2018-11-02 20:18:13,R_vkpGSN69OTaEr1T,,,,,33.7698974609375,-84.2949981689453125,anonymous,EN,6,5,7,6,7,1,2,4,5,7,3,5,4,5,6,6,3,3,5,5,5,6,1,7,5,76733089
2018-11-02 20:41:31,2018-11-02 20:43:52,0,50.35.78.21,100,140,1,2018-11-02 20:43:52,R_33g06zuprVYS2Xk,,,,,47.6800994873046875,-122.12060546875,anonymous,EN,6,6,7,6,7,5,5,3,6,7,5,7,6,7,7,6,5,3,3,6,5,5,2,6,6,85977088
